Height,Weight
54.26313333,64.70012671
55.66820212,68.98253009
54.61685783,71.39374874
57.35309276,72.75014469
58.21164993,77.5237739
56.16729919,77.89855927
54.87372753,78.60667031
56.76445645,79.17437583
56.1089021,80.53125938
60.33657937,82.19848785
57.83091908,83.02680254
56.78543437,83.99307747
56.81031728,84.17069477
56.99445626,84.41424571
56.54797498,84.87212365
55.97919788,85.41753362
55.6518916,85.62177644
58.3872723,85.79308524
60.33197203,86.0590456
57.80076874,86.19096018
59.27965397,86.89071184
60.02595007,87.035416
56.10536959,87.29886913
57.48139209,87.49657111
55.33649241,88.36658258
55.14855736,88.81241211
56.75760363,88.88485318
56.97513323,89.16984997
58.13449631,89.35722823
57.44520357,89.42089489
56.63041198,89.48048027
56.06663635,89.57120474
57.76480789,89.78999844
60.69473641,90.18540565
56.97527896,90.34178426
58.44507284,90.40667477
59.12503148,90.520784
58.8616251,90.72856088
58.78175763,90.77470918
56.15945802,90.81525566
56.54884308,90.84758938
58.64288882,91.13630366
57.9470911,91.46899763
58.68066471,91.54600438
56.73718347,91.60543723
57.14819808,91.64547294
58.96406899,91.78554983
58.37198641,92.03594584
60.27626216,92.03794304
59.31253404,92.04308757
57.98151241,92.11842639
57.69949207,92.22305324
58.87202902,92.26820464
58.30103474,92.29814647
58.04838794,92.32582991
58.03217317,92.79145025
58.80965363,93.05409138
58.49046702,93.19243865
60.03276917,93.20410252
63.06820292,93.4242393
57.10386947,93.5063159
57.86970441,93.53375287
57.74019191,93.65295688
57.07265625,93.74614216
57.31302352,93.8764374
60.16251035,94.23233057
57.15803352,94.26320265
57.71425655,94.38973264
56.07869973,94.48837405
57.27014705,94.49963415
59.90884476,94.56369747
59.42491211,94.74701457
58.08709515,94.94483434
58.90637763,94.97694487
58.30026837,95.12140347
57.31390274,95.1390468
56.78938641,95.32808768
59.76215649,95.50033085
60.00065715,95.62563818
59.8917058,95.63314901
58.15588831,95.67887158
60.95508426,95.68667433
58.96004039,95.75231754
58.64461182,95.78796887
57.99557143,95.91004289
59.74227958,95.93328554
60.23007396,95.93373248
57.54026863,96.19051124
58.10966317,96.26625015
57.84910509,96.28009269
57.4722524,96.31355653
60.19217378,96.35877595
60.6219605,96.39248396
58.41716345,96.422171
58.64632986,96.52484983
58.37681219,96.57921203
56.44568503,96.64024466
58.710456,96.64475624
58.73842886,96.7619414
59.99852911,96.8564881
60.04241965,97.03465533
57.85111519,97.04028987
61.43391285,97.05854929
61.31828438,97.10750426
60.17911246,97.26131279
60.42125498,97.26388078
56.67814049,97.26996668
